Film,Rating,Year
Mondays In The Sun,2.5,2003
Monster,4.0,2003
Morvern Callar,2.75,2003
My Life Without Me,2.25,2003
Mystic River,4.0,2003
No Good Deed,3.0,2003
Northfork,3.0,2003
Once Upon A Time In The Midlands,3.25,2003
Open Range,3.0,2003
Oscar Shorts,3.0,2003
OT: Our Town,3.75,2003
Out Of Time,3.0,2003
Owning Mahowny,3.5,2003
People I Know,3.0,2003
Peter Pan,2.75,2003
Phone Booth,3.5,2003
Pieces Of April,3.0,2003
Pirates Of The Caribbean,3.0,2003
Prey For Rock And Roll,3.0,2003
Raising Victor Vargas,3.25,2003
Red White And Blonde,2.0,2003
Respiro,2.25,2003
Rivers And Tides,3.5,2003
Russian Ark,2.0,2003
School Of Rock,3.75,2003
Seabiscuit,3.5,2003
Shattered Glass,3.75,2003
Showtime,2.5,2003
Sister Helen,3.0,2003
Something's Gotta Give,3.0,2003
Step Into Liquid,2.25,2003
Stone Reader,3.0,2003
Sweet Sixteen,3.25,2003
Swimming Pool,3.25,2003
Taking Sides,3.25,2003
Ten,2.75,2003
Terminator 3,2.5,2003
The Barbarian Invasions,3.25,2003
The Bread My Sweet,2.25,2003
The Company,3.0,2003
The Cooler,3.75,2003
The Core,3.5,2003
The Cuckoo,3.5,2003
The Dancer Upstairs,3.25,2003
The Event,1.5,2003
The Flower Of Evil,3.25,2003
The Fog Of War,3.75,2003
The Good Thief,3.25,2003
The Guru,2.5,2003
The Guys,3.0,2003
The Hard Word,2.75,2003
The Heart Of Me,2.75,2003
The Housekeeper,3.5,2003
The Hulk,3.0,2003
The Human Stain,3.0,2003
The Hunted,2.75,2003
The Italian Job,3.0,2003
The Last Samurai,2.5,2003
The Magdalene Sisters,3.5,2003
The Matrix Reloaded,2.5,2003
The Matrix Revolutions,3.0,2003
The Party's Over,2.25,2003
The Recruit,2.75,2003
The Sea,3.0,2003
The Secret Lives Of Dentists,3.5,2003
The Shape Of Things,3.0,2003
The Singing Detective,3.0,2003
The Son,3.75,2003
The Statement,2.5,2003
The Station Agent,3.75,2003
The Triplets Of Belleville,4.0,2003
The Weather Underground,3.25,2003
thirteen,3.5,2003
To Be And To Have,3.5,2003
Together,3.5,2003
Under The Tuscan Sun,3.0,2003
Uptown Girls,2.75,2003
Veronica Guerin,3.0,2003
Whale Rider,3.75,2003
Xmen 2,2.75,2003
XX/XY,3.25,2003
101 Reykjavik,3.25,2002
13 Conversations About One Thing,3.5,2002
24 Hour Party People,4.0,2002
8 Women,2.75,2002
9 Queens,3.25,2002
About A Boy,3.25,2002
About Schmidt,4.0,2002
Adaptation,3.75,2002
All Or Nothing,3.75,2002
Antwone Fisher,3.5,2002
Ararat,2.75,2002
Attack of The Clones,2.75,2002
Austin Powers Goldmember,2.75,2002
Auto Focus,3.25,2002
Baran,3.5,2002
Blood Work,3.25,2002
Bloody Sunday,3.5,2002
Blue Vinyl,2.5,2002
Bollywood/Hollywood,3.0,2002
Bowling For Columbine,3.5,2002
Catch Me If You Can,3.5,2002
Cherish,2.75,2002
Chicago,4.0,2002
Comedian,3.0,2002
Das Experiment,3.25,2002
Daughter From Danang,3.0,2002
Devil's Playground,2.75,2002
Diamond Men,3.5,2002
Die Another Day,3.25,2002
Divine Secrets of Ya Ya Sisterhood,2.5,2002
Dogtown and Z-Boys,2.75,2002
El Crimen Del Padre Amaro,3.25,2002
Eloge de Amour,2.0,2002
Enigma,3.0,2002
Enlightenment Guarenteed,3.25,2002
Far From Heaven,3.75,2002
Femme Fatale,3.75,2002
Festival In Cannes,3.0,2002
Four Feathers,2.75,2002
Frailty,3.25,2002
Frida,3.5,2002
Gangs Of New York,3.0,2002
Happy Accidents,3.0,2002
Harry Potter & The Chamber Of Secrets,3.25,2002
Hart's War,3.0,2002
Harvard Man,2.75,2002
Heaven,3.25,2002
Hero,3.5,2002
High Crimes,3.0,2002
Hollywood Ending,3.25,2002
Home Movie,3.0,2002
How To Draw A Bunny,2.25,2002
Human Nature,3.0,2002
Hysterical Blindness,3.5,2002
Ice Age,3.5,2002
Insomnia,3.75,2002
Interview With The Assassin,3.0,2002
Invincible,2.5,2002
Italian For Beginners,3.5,2002
Lantana,3.5,2002
Last Orders,3.75,2002
Late Marriage,3.25,2002
Light Of My Eyes,3.0,2002
Lilo and Stitch,3.5,2002
LOTR The Two Towers,4.0,2002
Lovely and Amazing,3.25,2002
Mad Love,2.25,2002
Maid In Manhattan,3.0,2002
Man Without A Past,3.25,2002
Men With Brooms,2.5,2002
Minority Report,3.5,2002
Monsoon Wedding,3.5,2002
Mostly Martha,2.5,2002
Murderous Maids,3.0,2002
My Big Fat Greek Wedding,3.5,2002
My Wife Is An Actress,3.0,2002
Naqoyqatsi,1.75,2002
Narc,3.5,2002
Nowhere In Africa,3.5,2002
Nuevo Cinema Paradiso,3.5,2002
One Hour Photo,3.25,2002
Oscar Shorts,3.5,2002
Personal Velocity,3.75,2002
Possesion,3.5,2002
Punch-Drunk Love,3.0,2002
Rabbit-Proof Fence,3.5,2002
Rare Birds,1.5,2002
Read My Lips,3.5,2002
Real Women Have Curves,3.5,2002
Revolution #9,3.25,2002
Roger Dodger,3.5,2002
Saathiya,3.0,2002
Satin Rouge,3.5,2002
Searching For Debra Winger,3.0,2002
Secret Ballot,3.25,2002
Secretary,3.5,2002
Sex and Lucia,3.25,2002
Signs,3.0,2002
Simone,2.25,2002
Skins,3.25,2002
Solaris,2.5,2002
Spellbound,4.0,2002
Spiderman,3.5,2002
Spirit,3.25,2002
Spirited Away,4.0,2002
Standing In The Shadows Of Motown,3.0,2002
Star Trek Nemesis,2.5,2002
Storytelling,3.25,2002
Sunshine State,4.0,2002
Tadpole,3.0,2002
Take Care Of My Cat,3.0,2002
Talk To Her,4.0,2002
The 25th Hour,3.25,2002
The Banger Sisters,2.75,2002
The Believer,4.0,2002
The Bourne Identity,3.25,2002
The Cat's Meow,3.0,2002
The Count Of Monte Cristo,3.25,2002
The Crocodile Hunter,2.25,2002
The Dangerous Lives Of Altar Boys,2.75,2002
The Emperor's Club,2.5,2002
The Emperor's New Clothes,2.5,2002
The Fast Runner,3.25,2002
The Good Girl,3.5,2002
The Grey Zone,3.75,2002
The Hours,3.75,2002
The Importance of Being Earnest,3.0,2002
The Kid Stays In The Picture,3.25,2002
The Lady And The Duke,3.25,2002
The Man From Elysian Fields,3.5,2002
The Mystic Masseur,3.25,2002
The Pianist,4.0,2002
The Piano Teacher,3.25,2002
The Quiet American,3.75,2002
The Road To Perdition,3.5,2002
The Sweetest Thing,1.5,2002
The Truth About Charlie,2.75,2002
The Way Home,3.0,2002
Time Out,3.5,2002
To End All Wars,2.75,2002
Trembling Before G-d,2.0,2002
Triumph Of Love,3.25,2002
Wasabi,2.5,2002
Welcome To Collinwood,2.75,2002
What Time is it There?,1.5,2002
Who Is Cletis Tout?,3.0,2002
Winged Migration,3.5,2002
Y Tu Mama Tambien,3.5,2002
Zus & Zoe,3.0,2002
A Beautiful Mind,3.75,2001
A.I.,2.75,2001
Amelie,3.75,2001
America's Sweethearts,2.75,2001
Amores Perros,3.75,2001
Bandits,2.5,2001
Behind The Sun,2.5,2001
Blow,3.0,2001
Bread and Roses,3.25,2001
Bread and Tulips,3.75,2001
Bridget Jones's Diary,3.0,2001
Cats and Dogs,2.25,2001
Dil Chahta Hai,2.75,2001
Dinner Rush,3.5,2001
Donnie Darko,3.0,2001
Double Whammy,2.75,2001
Elling,3.0,2001
Enemy at The Gates,3.0,2001
Evolution,2.0,2001
Fat Girl,2.5,2001
Focus,2.75,2001
Ghost World,3.25,2001
Gosford Park,4.0,2001
Greenfingers,2.75,2001
Harry Potter and the Sorceror's Stone,3.5,2001
he died with a felafel in his hands,2.75,2001
Heartbreakers,2.0,2001
Hearts In Atlantis,2.25,2001
Hedwig and the Angry Inch,3.75,2001
Heist,3.75,2001
In The Bedroom,3.25,2001
In The Mood For Love,3.75,2001
Innocence,3.75,2001
Iris,2.75,2001
Iron Ladies,2.25,2001
Jay And Silent Bob Strike Back,2.75,2001
Julie Johnson,2.5,2001
Jurrasic Park III,2.5,2001
Just Visiting,2.0,2001
Kandahar,2.75,2001
Keep The River On Your Right,3.0,2001
K-Pax,2.75,2001
Kwik Stop,3.0,2001
Lagaan,3.25,2001
Lake Boat,2.0,2001
Left Luggage,2.75,2001
Legally Blond,2.75,2001
Life As a House,3.0,2001
Lost and Delirious,2.75,2001
LOTR The Fellowship of The Ring,4.0,2001
Made,3.0,2001
Memento,4.0,2001
Monster's Ball,3.75,2001
Monsters Inc.,3.5,2001
Moulin Rouge ,1.75,2001
Mulholland Drive,3.5,2001
My First Mister,3.0,2001
No Man's Land,3.5,2001
Novocaine,3.5,2001
Oceans' 11,3.0,2001
One Night At McCools,2.5,2001
Oscar Shorts,3.5,2001
Pauline and Paulette,2.75,2001
"Series 7,  The Contenders ",3.25,2001
Sexy Beast,3.75,2001
Shrek,4.0,2001
Snatch,3.0,2001
Son Of The Bride,3.75,2001
Songcatcher,3.25,2001
Songs From The Seconf Floor,2.25,2001
Spy Game,3.0,2001
Stanley Kubrick: A Life In Pictures,3.5,2001
Startup.com,3.5,2001
Swordfish,2.5,2001
Tape,3.0,2001
The Business of Strangers,3.0,2001
The Caveman's Valentine,3.0,2001
The Center of the World,3.25,2001
The Chateau,2.75,2001
The Claim,3.5,2001
The Crimson Rivers,3.25,2001
The Curse of the Jade Scorpion,3.5,2001
The Day I Became A Woman,3.25,2001
The Deep End,3.75,2001
The Dish,3.5,2001
The Endurance,3.25,2001
The Gift,3.0,2001
The Gleaners and I,3.5,2001
The King Is Alive,2.75,2001
The Last Castle,3.25,2001
The Legend Of Rita,3.25,2001
The Luzhin Defence,2.75,2001
The Majestic,3.0,2001
The Man Who Cried,2.5,2001
The Man Who Wasn't There,3.25,2001
The Mexican,2.0,2001
The Pledge,3.75,2001
The Price Of Milk,1.5,2001
The Princess and The Warrior,3.25,2001
The Road Home,3.75,2001
The Royal Tennenbaums,3.0,2001
The Score,3.0,2001
The Shipping News,2.5,2001
The Son's Room,3.25,2001
The Tailor of Panama,3.0,2001
The Taste of Others,3.5,2001
Thw Widow Of St. Pierre,3.5,2001
Together,3.25,2001
Tortilla Soup,3.0,2001
Training Day,3.0,2001
Under The Sand,2.5,2001
Under The Sun,3.25,2001
Va Savior,3.5,2001
Vanilla Sky,2.75,2001
Waking Life,2.75,2001
With a Friend Like Harry,2.5,2001
World Traveler,2.25,2001
Yana's Friends,3.0,2001
A Time for Drunken Horses,3.0,2000
Almost Famous,4.0,2000
American Movie,3.0,2000
An Everlasting Piece,2.75,2000
Any Given Sunday,2.5,2000
Bait,3.0,2000
Bedazzled,2.5,2000
Before Night Falls,2.75,2000
Best In Show,3.75,2000
Billy Eliot,3.5,2000
Boiler Room,3.0,2000
Cast Away,3.5,2000
Catfish In Black Bean Sauce,2.75,2000
Charlie's Angels,1.5,2000
Chicken Run,3.5,2000
Chocolat,2.5,2000
Chuck And Buck,2.75,2000
"Crouching Tiger, Hidden Dragon",4.0,2000
Croupier,3.5,2000
Deterrence,3.0,2000
Dr. T and the Women,3.75,2000
East/West,3.75,2000
Erin Brockovich,3.0,2000
Finding Forrestor,3.25,2000
Frequency,3.0,2000
George Washington,3.75,2000
Ghost Dog,3.0,2000
Girl On The Bridge,3.5,2000
Girlfight,3.25,2000
Gladiator,2.75,2000
Gone in 60 Seconds,2.5,2000
Gun Shy,2.5,2000
Hamlet,2.5,2000
High Fidelity,3.75,2000
Holy Smoke,2.5,2000
Human Resources,3.5,2000
Jesus' Son,3.25,2000
Joe Gould's Secret,3.25,2000
L'Humanite,2.75,2000
Maelstrom,2.25,2000
"Me, Myself, I",3.0,2000
Meet the Parents,3.0,2000
Merci Pour Le Chocolat,3.25,2000
Miss Congeniality,2.75,2000
Mr. Death,3.0,2000
Nurse Betty,2.5,2000
"O, Brother Where Art Thou",3.0,2000
On the Ropes,3.5,2000
Panic,2.75,2000
Pay it Forward,2.5,2000
Place Vendome,3.5,2000
Pollock,3.5,2000
Requiem for a Dream,3.75,2000
Return to Me,3.0,2000
Rocky & Bulwinkle,3.0,2000
Rules of Engagement,3.0,2000
Saving Grace,2.5,2000
Shadow of the Vampire,3.25,2000
Shanghai Noon,3.0,2000
Shower,3.0,2000
Small Time Crooks,3.5,2000
Space Cowboys,3.25,2000
Stardom,2.75,2000
State and Main,3.75,2000
The Cell,2.5,2000
The Color of Paradise,3.0,2000
The Contender,3.5,2000
The Emperor's New Groove,3.25,2000
The Eyes of Tammy Faye,3.5,2000
The Filth And The Fury,3.0,2000
The Legend Of Bagger Vance,2.5,2000
The Terrorist,3.5,2000
The Tic Code,2.5,2000
The Whole Nine Yards,2.5,2000
The Yards,3.25,2000
Things you can tell just by looking at her,2.75,2000
Tigerland,3.25,2000
Timecode,2.5,2000
Traffic,4.0,2000
Trixie,2.5,2000
Two Family House,3.5,2000
U-571,2.75,2000
Unbreakable,3.0,2000
Where the Money Is,3.0,2000
Wonder Boys,3.75,2000
X-Men,2.5,2000
You Can Count on Me,4.0,2000
10 Things I Hate About You,2.5,1999
42 Up,3.5,1999
A Map of the World,3.25,1999
Affliction,4.0,1999
After Life,3.75,1999
All About My Mother,3.75,1999
American Beauty,4.0,1999
Among Giants,3.25,1999
An Ideal Husband,3.75,1999
Analyze This,3.0,1999
At First Sight,2.5,1999
Austin Powers II,3.0,1999
Being John Malkovich,4.0,1999
Big Daddy,1.5,1999
Blast From the Past,2.5,1999
Bowfinger,3.0,1999
Boys Don't Cry,4.0,1999
Bringing Out the Dead,3.5,1999
Children of Heaven,3.0,1999
Cookies Fortune,4.0,1999
Cradle Will Rock,3.5,1999
Dick,3.25,1999
Dogma,3.75,1999
Drop Dead Gorgeous,2.75,1999
East Is East,3.0,1999
EDTV,2.5,1999
Election,3.75,1999
Entrapment,3.25,1999
Existenz,3.0,1999
Felicia's Journey,3.25,1999
Fight Club,3.0,1999
Forces of Nature,1.5,1999
Free Enterprise,3.0,1999
Galaxy Quest,3.5,1999
Genghis Blues,3.5,1999
Get Bruce,2.5,1999
God Said Ha,3.25,1999
Happy Texas,3.5,1999
Hideous Kinky,2.5,1999
Limbo,3.5,1999
"Lock, Stock & 2 Smoking Barrels",3.25,1999
Lovers of the Artic Circle,3.0,1999
Magnolia,4.0,1999
Man on the Moon,3.75,1999
Mumford,3.5,1999
My Best Fiend,3.25,1999
My Son The Fanatic,3.25,1999
Mystery Men,2.5,1999
Notting Hill,3.0,1999
October Sky,3.0,1999
Office Space,2.5,1999
One Day in September,2.75,1999
Payback,2.5,1999
Perfect Blue,3.25,1999
Pushing Tin,3.0,1999
Random Hearts,2.25,1999
Ride With The Devil,2.25,1999
"Run, Lola Run",3.25,1999
Runaway Bride,2.5,1999
Rushmore,3.25,1999
Simply Irresistable,2.0,1999
SLC Punk,3.0,1999
Sleepy Hollow,2.5,1999
Still Crazy,3.0,1999
Summer of Sam,3.25,1999
Sweet And Lowdown,3.25,1999
Te Talented Mr. Ripley,3.25,1999
The 24 Hour Woman,3.25,1999
The Adventures of Sebastian Cole,3.0,1999
The Blair Witch Project,2.0,1999
The Brandon Teena Story,3.0,1999
The Cider House Rules,2.0,1999
The Dinner Game,3.5,1999
The Dreamlife of Angels,3.25,1999
The General,3.5,1999
The Green Mile,3.5,1999
The Insider,3.5,1999
The Iron Giant,3.5,1999
The Limey,3.0,1999
The Matrix,2.0,1999
The Minus Man,3.25,1999
The Muse,3.5,1999
The Phantom Menace,3.0,1999
The Red Violin,4.0,1999
The Sixth Sense,3.75,1999
The Straight Story,3.75,1999
The Winslow Boy,4.0,1999
The World is Not Enough,2.5,1999
Three Kings,4.0,1999
Topsy-Turvy,3.5,1999
Toy Story 2,3.5,1999
Trekkies,3.5,1999
Tumbleweeds,3.5,1999
Varsity Blues,2.5,1999
Velvet Goldmine,2.75,1999
"Wild, Wild West",2.0,1999
A Simple Plan,3.5,1998
A Soldier's Daughter Never Cries,3.0,1998
American History X,3.25,1998
Armageddon,1.0,1998
"Babe, Pig in the City",4.0,1998
Blood Guts Bullets and Octane,2.75,1998
Bulworth,3.5,1998
Celebrity,3.0,1998
City Of Angels,3.25,1998
Clockwatchers,2.5,1998
Cousin Bette,3.0,1998
Dark City,3.75,1998
Deep Impact,3.0,1998
Down In The Delta,3.75,1998
Earth,4.0,1998
Elizabeth,3.75,1998
Elmo In  Grouchland,2.5,1998
Enemy of the State,2.75,1998
Following,3.5,1998
Gods and Monsters,2.75,1998
Half A Chance,3.25,1998
Henry Fool,2.5,1998
Hilary And Jackie,3.5,1998
Hope Floats,1.5,1998
How Stella Got Her Groove Back,2.75,1998
Hurlyburly,3.0,1998
Insomnia,3.5,1998
Last Night,2.75,1998
Lethal Weapon 4,2.5,1998
Little Dieter Needs To Fly,3.25,1998
Little Voice,3.25,1998
Living Out Loud,2.5,1998
Men With Guns,3.5,1998
Momument Avenue,3.25,1998
Next Stop Wonderland,3.25,1998
Oscar and Lucinda,3.25,1998
Out of Sight,3.5,1998
Pecker,3.0,1998
Permanent Midnight,3.0,1998
Pi,3.0,1998
Pleasantville,3.5,1998
Practical Magic,1.5,1998
Primary Colors,3.75,1998
Prince of Egypt,3.0,1998
Return to Paradise,3.5,1998
Ronin,3.0,1998
Rounders,3.0,1998
Rugrats Movie,2.5,1998
Rush Hour,2.5,1998
Saving Private Ryan,4.0,1998
Shakespeare in Love,4.0,1998
Six Days Seven Nights,2.75,1998
Smoke Signals,3.25,1998
Snake Eyes,2.5,1998
Soldier,2.5,1998
Something About Mary,3.25,1998
Spice World,2.0,1998
Star Trek Insurrection,3.0,1998
Surviving Picasso,3.25,1998
Taste Of Cherry,2.0,1998
The Apostle,3.5,1998
The Big Lebowski,3.5,1998
The Book Of Life,2.75,1998
The Celebration,3.75,1998
The Con,3.0,1998
The Gingerbread Man,3.5,1998
The Governess,3.0,1998
The Horse Whisperer,3.0,1998
The Mask of Zorro,2.75,1998
The Opposite of Sex,3.0,1998
The Parent trap,2.75,1998
The Saltmen Of Tibet,3.0,1998
The Slums of Beverly Hills,3.25,1998
The Spanish Prisoner,3.75,1998
The Truman Show,3.75,1998
Three Businessmen,3.0,1998
Twenty Four Seven,3.0,1998
Twilight,2.5,1998
Two Guys and a Girl,3.0,1998
U.S. Marshalls,2.5,1998
Wag the Dog,4.0,1998
Waking Ned Devine,3.25,1998
What Dreams May Come,2.0,1998
You've Got Mail,3.25,1998
Zero Effect,3.5,1998
A Life Less Ordinary,2.5,1997
Absolute Power,3.25,1997
Addicted to Love,2.75,1997
Air Force One,3.25,1997
As Good as it Gets,3.25,1997
Austin Powers,3.0,1997
Boogie Nights,4.0,1997
Breakdown,3.0,1997
Chasing Amy,3.5,1997
Children Of The Revolution,3.75,1997
Citizen Ruth,3.5,1997
Conspiracy Theory,3.0,1997
Contact,3.5,1997
Daytrippers,2.75,1997
Deconstructing Harry,3.5,1997
Donnie Brasco,3.5,1997
Eve's Bayou,3.75,1997
"Fast, Cheap and Out of Control",3.25,1997
Fierce Creatures,2.75,1997
Fire,3.25,1997
Good Will Hunting,4.0,1997
Grays Aatomy,3.25,1997
Grosse Pointe Blank,3.5,1997
Happy Together,2.5,1997
Hard Eight,3.5,1997
Jackie Brown,3.75,1997
Kiss the Girls,2.5,1997
L.A. Confidential,4.0,1997
Lawn Dogs,2.75,1997
Liar Liar,2.5,1997
Live Flesh,3.25,1997
Love And Death On Long Island,3.5,1997
Men in Black,3.5,1997
Midnight in the Garden of Good.,3.25,1997
Mrs. Brown,3.5,1997
My Best Friend's Wedding,3.0,1997
Open Your Eyes,3.5,1997
Playing God,3.0,1997
Romy & Michelle's HS Reunion,2.5,1997
Schizopolis,2.5,1997
Shall We Dance,3.75,1997
Smilla's Sense of Snow,3.25,1997
Starship Troopers,3.25,1997
Suicide Kings,3.5,1997
Telling Lies in America,3.25,1997
The Big One,3.0,1997
The Castle,3.5,1997
The Devil's Advocate,2.5,1997
The End Of Violence,2.25,1997
The Fifth Element,2.0,1997
The Full Monty,3.75,1997
The Game,3.0,1997
The Lost World,2.5,1997
The Man Who Knew Too Little,2.5,1997
The Postman,1.5,1997
The Saint,2.0,1997
The Sweet Hereafter,3.75,1997
Titanic,2.75,1997
Tomorrow Never Dies,2.5,1997
Ulee's Gold,3.75,1997
Waiting for Guffman,3.25,1997
Welcome To Sarajevo,3.5,1997
When We Were Kings,3.5,1997
Wilde,3.0,1997
Winter Sleepers,3.5,1997
101 Dalmations,3.0,1996
12 Monkeys,3.5,1996
6:00 News,2.5,1996
A Single Girl,2.75,1996
A Time To Kill,3.25,1996
Beautiful Girls,3.5,1996
Big Night,3.75,1996
Born Yesterday,2.0,1996
Bottle Rocket,3.0,1996
Box Of Moonlight,3.0,1996
Broken Arrow,2.5,1996
Chungking Express,3.25,1996
Courage Under Fire,2.5,1996
Dead Man,2.75,1996
Down Periscope,2.5,1996
Dragonheart,2.5,1996
Everyone Says I Love You,3.25,1996
Fargo,4.0,1996
Flirting With Disaster,3.5,1996
Ghost In The Shell,3.5,1996
Girl 6,2.75,1996
Grace of My Heart,3.25,1996
Homeward Bound 2,3.0,1996
Independence Day,3.0,1996
Irma Vep,2.5,1996
Jerry Maguire,4.0,1996
Kama Sutra,2.25,1996
La Promesse,3.75,1996
Last Man Standing,2.25,1996
Living In Oblivion,3.5,1996
Lonestar,4.0,1996
Love Serenede,2.75,1996
Manny & Lo,3.25,1996
Michael,3.5,1996
Microcosmos,2.5,1996
Mission Impossible,3.25,1996
My Fellow Americans,2.5,1996
Phenomenon,3.5,1996
Ransom,3.5,1996
Ridicule,3.25,1996
Secrets and Lies,3.75,1996
Shine,3.5,1996
Star Trek First Contact,3.75,1996
Striptease,1.5,1996
Swingers,3.5,1996
That Thing You Do,3.75,1996
The English Patient,4.0,1996
The Last Supper,2.5,1996
The People Vs. Larry Flynt,3.5,1996
The Phantom,2.75,1996
The Truth About Cats & Dogs,2.75,1996
The Whole Wide World,2.5,1996
Things to do in Denver,2.5,1996
Tin Cup,3.25,1996
Trainspotting,3.25,1996
Two Much,2.0,1996
Underground,3.5,1996
Amatuer,3.25,1995
Antonia's Line,3.5,1995
Apollo 13,3.75,1995
Babe,4.0,1995
Before Sunrise,3.75,1995
Braveheart,3.25,1995
Casino,3.75,1995
Casper,2.0,1995
Clockers,3.5,1995
Clueless,3.5,1995
Crumb,3.0,1995
Dead Man Walking,3.75,1995
Devil in a Blue Dress,3.25,1995
Die Hard w/a Vengence,2.5,1995
Exotica,4.0,1995
Fallen Angels,2.5,1995
Forget Paris,3.25,1995
Four Rooms,2.5,1995
French Kiss,3.0,1995
Get Shorty,3.75,1995
Goldeneye,2.5,1995
Grumpier Old Men,2.5,1995
Hackers,3.0,1995
Heat,4.0,1995
Homw For The Holidays,3.0,1995
Immortal Beloved,3.0,1995
Indian in the Cupboard,3.0,1995
Jefferson In Paris,2.25,1995
Kicking And Screaming,3.0,1995
Leaving Las Vegas,4.0,1995
Living In Oblivion,3.75,1995
Mallrats,3.0,1995
Mighty Aphrodite,3.75,1995
Mr. Holland's Opus,2.75,1995
Nixon,3.5,1995
Once Were Warriors,3.25,1995
Rob Roy,2.5,1995
Sabrina,2.5,1995
Se7en,3.5,1995
Shallow Grave,3.5,1995
Show Girls,2.5,1995
Smoke,3.25,1995
"Steal Big, Steal Little",2.5,1995
Strange Days,4.0,1995
Swimming with Sharks,3.5,1995
The American President,3.75,1995
The Bridges of Madison County,3.5,1995
The Doom Generation,1.0,1995
The Englishman who went ï¿½,3.5,1995
The Madness of King George,3.5,1995
The Secret of Roan Inish,3.5,1995
The Usual Suspects,3.75,1995
The World Of Jacques Demy,3.25,1995
To Die For,3.75,1995
To Wong Foo Thanks for ï¿½,2.5,1995
Toy Story,4.0,1995
Unzipped,2.5,1995
Virtuosity,3.75,1995
Waterworld,1.5,1995
While You Were Sleeping,3.0,1995
Angels in the Outfield,2.0,1994
Ashes Of Time Redux,2.25,1994
Backbeat,3.5,1994
Beverly Hills Cop 3,2.0,1994
Blink,3.0,1994
Blue Sky,3.25,1994
Bullets over Broadway,3.75,1994
Clerks,3.25,1994
D-Day To Berlin,3.0,1994
Dumb and Dumber,2.5,1994
Eat Drink Man Woman,3.5,1994
Ed Wood,3.25,1994
Embrace Of The Vampire,1.0,1994
Flintstones,1.5,1994
Forrest Gump,4.0,1994
Four Weddings and a Funeral,3.5,1994
Guarding Tess,3.5,1994
Heavenly Creatures,3.25,1994
Hoop Dreams,4.0,1994
I Love Trouble,3.0,1994
I'll Do Anything,2.5,1994
In the Name of the Father,3.25,1994
Interview with the Vampire,2.5,1994
IQ,2.5,1994
Jungle Book,2.0,1994
Junior,2.5,1994
"Leon, The Professional",3.5,1994
Little Buddha,3.0,1994
Little Giants,2.5,1994
Little Women,2.0,1994
Maverick,2.75,1994
Metropolitan,3.5,1994
Mrs. Parker and The Vicious Circle,2.5,1994
Murial's Wedding,2.5,1994
My Girl II,2.0,1994
Nobody's Fool,3.5,1994
"Priscilla, Queen of the Desert",3.25,1994
Pulp Fiction,4.0,1994
Quiz Show,3.75,1994
Ready to Wear,3.0,1994
Red,3.5,1994
Red Rock West,3.5,1994
Renaissance Man,2.5,1994
Shadowlands,4.0,1994
Shawshank Redemption,4.0,1994
Sirens,3.5,1994
Spanking The Monkey,2.75,1994
Speed,3.0,1994
Star Trek Generations,2.5,1994
Stargate,2.5,1994
Terminal Velocity,1.5,1994
The Advocate,3.0,1994
The Browning Version,2.75,1994
The Client,2.5,1994
The Crow,2.0,1994
The Hudsucker Proxy,3.25,1994
